Z,Y,T
-0.002069,0.0033966,317.00462022133433
0.002069,0.0046034,353.3663945313295
-0.002069,0.0046034,353.3663945313295
0.002069,0.0058103,396.8989255233055
-0.002069,0.0058103,396.8989255233055
0.002069,0.0070172,448.58757099831405
-0.002069,0.0070172,448.58757099831405
0.002069,0.0082241,507.9414225108731
-0.002069,0.0082241,507.9414225108731
0.002069,0.009431,574.6228506064786
-0.002069,0.009431,574.6228506064786
0.002069,0.0106379,648.5781894430531
-0.002069,0.0106379,648.5781894430531
0.002069,0.0118448,729.9160972299636
-0.002069,0.0118448,729.9160972299636
0.002069,0.0130517,817.4745729898164
-0.002069,0.0130517,817.4745729898164
0.002069,0.0142586,910.6054388320119
-0.002069,0.0142586,910.6054388320119
0.002069,0.0154655,1009.8394012139538
-0.002069,0.0154655,1009.8394012139538
0.002069,0.0166724,1114.023456913281
-0.002069,0.0166724,1114.023456913281
0.002069,0.0178793,1222.5536652951682
-0.002069,0.0178793,1222.5536652951682
0.002069,0.0190862,1333.687247682146
-0.002069,0.0190862,1333.687247682146
0.002069,0.0202931,1446.1066869716767
-0.002069,0.0202931,1446.1066869716767
0.002069,0.0215,1559.6289381173833
-0.002069,0.0215,1559.6289381173833
0.0024828,-0.0135,184.09891226777808
-0.0024828,-0.0135,184.09891226777808
0.0024828,-0.0122931,184.39570988055368
-0.0024828,-0.0122931,184.39570988055368
0.0024828,-0.0110862,185.22449857509181
-0.0024828,-0.0110862,185.22449857509181
0.0024828,-0.0098793,186.63981853590457
-0.0024828,-0.0098793,186.63981853590457
0.0024828,-0.0086724,188.74652939412053
-0.0024828,-0.0086724,188.74652939412053
0.0024828,-0.0074655,191.7767729723466
-0.0024828,-0.0074655,191.7767729723466
0.0024828,-0.0062586,195.8542809960119
-0.0024828,-0.0062586,195.8542809960119
0.0024828,-0.0050517,201.1929504665866
-0.0024828,-0.0050517,201.1929504665866
0.0024828,-0.0038448,208.1314421392239
-0.0024828,-0.0038448,208.1314421392239
0.0024828,-0.0026379,217.33629129260325
-0.0024828,-0.0026379,217.33629129260325
0.0024828,-0.001431,229.1045501559621
-0.0024828,-0.001431,229.1045501559621
0.0024828,-0.0002241,244.01276566355983
-0.0024828,-0.0002241,244.01276566355983
0.0024828,0.0009828,262.832336043606
-0.0024828,0.0009828,262.832336043606
0.0024828,0.0021897,287.0585776434974
-0.0024828,0.0021897,287.0585776434974
0.0024828,0.0033966,317.0057669627604
-0.0024828,0.0033966,317.0057669627604
0.0024828,0.0046034,353.36729543983176
-0.0024828,0.0046034,353.36729543983176
0.0024828,0.0058103,396.8994239666335
-0.0024828,0.0058103,396.8994239666335
0.0024828,0.0070172,448.58751645088967
-0.0024828,0.0070172,448.58751645088967
0.0024828,0.0082241,507.9409070877975
-0.0024828,0.0082241,507.9409070877975
0.0024828,0.009431,574.6218353397317
-0.0024828,0.009431,574.6218353397317
0.0024828,0.0106379,648.5769043321152
-0.0024828,0.0106379,648.5769043321152
0.0024828,0.0118448,729.9146299843276
-0.0024828,0.0118448,729.9146299843276
0.0024828,0.0130517,817.4729973531395
-0.0024828,0.0130517,817.4729973531395
0.0024828,0.0142586,910.6037938268578
-0.0024828,0.0142586,910.6037938268578
0.0024828,0.0154655,1009.8376866346352
-0.0024828,0.0154655,1009.8376866346352
0.0024828,0.0166724,1114.0259291366558
-0.0024828,0.0166724,1114.0259291366558
0.0024828,0.0178793,1222.5542292063526
-0.0024828,0.0178793,1222.5542292063526
0.0024828,0.0190862,1333.6856307739172
-0.0024828,0.0190862,1333.6856307739172
0.0024828,0.0202931,1446.1053940730337
-0.0024828,0.0202931,1446.1053940730337
0.0024828,0.0215,1559.6282065247176
-0.0024828,0.0215,1559.6282065247176
0.0028966,-0.0135,184.0988876311609
-0.0028966,-0.0135,184.0988876311609
0.0028966,-0.0122931,184.39568744712065
-0.0028966,-0.0122931,184.39568744712065
0.0028966,-0.0110862,185.22448408788003
-0.0028966,-0.0110862,185.22448408788003
0.0028966,-0.0098793,186.63982228275745
-0.0028966,-0.0098793,186.63982228275745
0.0028966,-0.0086724,188.74655231395948
-0.0028966,-0.0086724,188.74655231395948
0.0028966,-0.0074655,191.77683419307527
-0.0028966,-0.0074655,191.77683419307527
0.0028966,-0.0062586,195.85439160100182
-0.0028966,-0.0062586,195.85439160100182
0.0028966,-0.0050517,201.1931287621496
-0.0028966,-0.0050517,201.1931287621496
0.0028966,-0.0038448,208.13172744085813
-0.0028966,-0.0038448,208.13172744085813
0.0028966,-0.0026379,217.33670681897118
-0.0028966,-0.0026379,217.33670681897118
0.0028966,-0.001431,229.10518876383924
-0.0028966,-0.001431,229.10518876383924
0.0028966,-0.0002241,244.01370346640257
-0.0028966,-0.0002241,244.01370346640257
0.0028966,0.0009828,262.83347879115604
-0.0028966,0.0009828,262.83347879115604
0.0028966,0.0021897,287.0598543831678
-0.0028966,0.0021897,287.0598543831678
0.0028966,0.0033966,317.0070095108003
-0.0028966,0.0033966,317.0070095108003
0.0028966,0.0046034,353.36833845555685
-0.0028966,0.0046034,353.36833845555685
0.0028966,0.0058103,396.9000576784423
-0.0028966,0.0058103,396.9000576784423
0.0028966,0.0070172,448.5875526212308
-0.0028966,0.0070172,448.5875526212308
0.0028966,0.0082241,507.94050467103483
-0.0028966,0.0082241,507.94050467103483
0.0028966,0.009431,574.6208926264527
-0.0028966,0.009431,574.6208926264527
0.0028966,0.0106379,648.5756679079157
-0.0028966,0.0106379,648.5756679079157
0.0028966,0.0118448,729.9131781490033
-0.0028966,0.0118448,729.9131781490033
0.0028966,0.0130517,817.4714166345028
-0.0028966,0.0130517,817.4714166345028
0.0028966,0.0142586,910.6087021068488
-0.0028966,0.0142586,910.6087021068488
0.0028966,0.0154655,1009.8359364148145
-0.0028966,0.0154655,1009.8359364148145
0.0028966,0.0166724,1114.0241246630144
-0.0028966,0.0166724,1114.0241246630144
0.0028966,0.0178793,1222.5501114115018
-0.0028966,0.0178793,1222.5501114115018
0.0028966,0.0190862,1333.6840017732907
-0.0028966,0.0190862,1333.6840017732907
0.0028966,0.0202931,1446.1027955330119
-0.0028966,0.0202931,1446.1027955330119
0.0028966,0.0215,1559.6274999830848
-0.0028966,0.0215,1559.6274999830848
0.0033103,-0.0135,184.09886320300092
-0.0033103,-0.0135,184.09886320300092
0.0033103,-0.0122931,184.3956671205944
-0.0033103,-0.0122931,184.3956671205944
0.0033103,-0.0110862,185.2244701755963
-0.0033103,-0.0110862,185.2244701755963
0.0033103,-0.0098793,186.63982294968451
-0.0033103,-0.0098793,186.63982294968451
